aalost alost
countermand vacat
countermin counteract
countermov counterattack
counterpan spread
counterperson counterman
counterplan counterplot
counterpoison antidot
counterpunch parri
counterrevolutionist counterrevolutionari
countersign word
countersink set
counterstrik counterattack
countertenor alto
counterweight counterpos
counterwoman counterman
countrifi countryfi
coup takeov
coupl yoke
couplet dyad
coupon voucher
courag fearless
courteou nice
courteous polit
courtesan paramour
courtroom court
couturi design
coven concordat
coventri banish
coverag reportag
covert cover
covil hediondilla
cow overaw
cowardic cowardli
cowboi cattleman
cowcatch pilot
cower huddl
cowhand cattleman
cowherd cattleman
cowhid cowskin
cowhous cowbarn
cowman cattleman
cowpok cattleman
cowpunch cattleman
cowsh cowbarn
cowslip paigl
cox cyclooxygenas
coy demur
coypu nutria
cozei cosei
cozen deceiv
cozi intim
cp hz
crabbed crabbi
crabmeat crab
crackbrain idiot
cracklewar crackl
crackpot nutcas
cracksman safebreak
cracow krakow
cradlesong lullabi
crafti tricki
craftili slyli
craftsman journeyman
craftsmanship craft
crag mountain
cram jam
cramp spasm
crampon crampoon
craniat vertebr
craniata vertebrata
craniologist phrenologist
cranium brainpan
cranni crevic
crapper throne
crappi stink
crassitud crass
craunch cranch
craven recreant
craw crop
crawdaddi crawdad
crawl cring
crazili insan
creakili screakili
creakingli screakili
creaseless uncreas
creaseproof wrinkleproof
creashak sandberri
creation macrocosm
credenza credenc
creedal credal
creeper crawler
crees creas
crenatur scallop
crepuscl dusk
crepuscul dusk
crescent lunat
cresson watercress
crestfallen chopfallen
cretin imbecil
crib poni
criminatori incrimin
crimp pinch
cringl loop
crinkli crinkl
crinolin hoopskirt
criteri criterion
cro oscilloscop
croaki croak
croat croatian
crock besot
crocodilia crocodylia
crocodylu crocodilu
cromlech dolmen
cromorn krummhorn
crone witch
croni chum
cropper sharecropp
crossbr interbr
crossbre hybridis
crosscurr countercurr
crosscut shortcut
crosshatch hatch
crossli grumpili
crossopterygian lobefin
crossov cross
crosspatch grump
crosspiec crossbeam
crossroad junctur
crosswalk cross
crosswis crosswai
crotchet quirk
crotcheti cranki
crottal crotal
crottl crotal
crouch squat
crowfoot kingcup
crownwork cap
crozier crosier
crucifera brassicacea
cruciform cruciat
crud filth
cruet crewet
cruis sail
cruller twister
crumb rotter
crumbl fragment
crumhorn krummhorn
crummi cheap
crunchi crisp
crust incrust
crustac crustacean
crusti gruff
crustlik encrust
cryaesthesia cryesthesia
crybabi snivel
cryoanesthesia cryoanaesthesia
cryogen cryogeni
cryptanalysi cryptolog
cryptanalyt cryptolog
cryptograph cypher
cryptographi cryptolog
cryptologist cryptanalyst
cryptomonad cryptophyt
cryptorch cryptorchid
cryptorchidi cryptorchid
cs caesium
cu copper
cub lad
cubelik cuboid
cubic cuboid
cubiform cuboid
cuckoo bozo
cucumb cuke
cud quid
cudbear orchil
cuddli cuddlesom
cue prompt
cullend coland
cultism devot
cultu cult
cum ejacul
cumber restrain
cumbersom unwieldi
cumulonimbu thundercloud
cumulu mound
cuneiform cuneal
cunnilingu cunnilinctu
cunt twat
cuon cyon
cupboard closet
cupflow nierembergia
cupper cuppa
cupric cuprou
cupul cupular
cuquenan kukenaam
cur therapeut
curacao curacoa
curar tubocurarin
curett curettag
curio rariti
curiou odd
curler roller
curmudgeonli gruff
currajong kurrajong
currenc vogu
curriculum program
cursori pass
cursorili quickli
curtainless uncurtain
curtilag yard
curvet vault
curvi curvei
curvilin curvilinear
cusco cuzco
cushat ringdov
cushi soft
cushioni cushion
cusk torsk
cuspat cuspid
cuspidor spittoon
cussed orneri
cussedli mulishli
custodian keeper
customari accustom
customhous customshous
cutch kutch
cuti skin
cuticl shell
cutla cutlass
cutlet scollop
cutoff shortcut
cutpurs dip
cuttabl chewabl
cuttlefish cuttl
cva apoplexi
cwm corri
cwt quintal
cyan teal
cyanid nitril
cyanit kyanit
cyanogenet cyanogen
cyanophyt cyanobacteri
cybel dindymen
cyberspac internet
cycadophyta cycadopsida
cycadophytina cycadopsida
cyclist wheeler
cyclopedia cyclopaedia
cyclorama panorama
cyclosi stream
cyder cider
cydippea cydippidea
cydippida cydippidea
cylix kylix
cymatium cyma
cymbidium cymbid
cymru cambria
cynewulf cynwulf
cypr salmwood
cyprinid cyprinoid
cyproheptadin periactin
cyst vesicl
cystocel colpocystocel
cystoparalysi cystoplegia
cytidin deoxycytidin
cytoarchitectur cytoarchitecton
cytogeni cytogenesi
cytomegaloviru cmv
cytoplasm cytoplasmat
cytosmear smear
czar tzar
czarina czaritza
czech czechoslovakian
czechoslovak czechoslovakian
da conei
daba kola
dabbler dilettant
dachsi dachshund
dacnina coerebida
dacron terylen
dactyl digit
dad pappa
dada pappa
daddi pappa
daedalu daedal
daemon devil
daffo ron
dafla mirish
daft crazi
daftli balmili
dagger sticker
dago wop
dai year
daimon devil
dairymaid milkmaid
dakoit dacoit
dakoiti dacoiti
dallier mope
dalton deuteranopia
dam leve
dame ladi
damkina damgalnunna
dammar damar
damnabl execr
damoisel demoisel
damosel demoisel
damozel demoisel
dampen wash
damsel demoisel
damselfish demoisel
danc terpsichor
dander hackl
dandi neat
dandyish dandifi
dangaleat dangla
dangl swing
danmark denmark
dantesqu dantean
danu dana
daoism taoism
dapper snappi
dard dardic
dardan dardanian
daredevil temerari
daredevilri daredeviltri
darkei darki
darmera peltiphyllum
darn patch
darnel tare
dashboard splashboard
dasheen taro
dashiki daishiki
dassi conei
dastard dastardli
data inform
databl dateabl
datemark datelin
datril panadol
daughter girl
dauntless intrepid
dauntlessli fearlessli
daw jackdaw
dawdler laggard
daybreak dayspr
daylight daytim
daystar phosphoru
daze stupor
dazedli torpidli
dazzl glari
db decibel
ddt dichlorodiphenyltrichloroethan
de stilbesterol
deactiv inactiv
deaneri deanship
dearest love
deari favourit
dearli dear
deathless undi
deathli mortal
deathrat mortal
deb debutant
debacl slaughter
debauch riot
debauche rounder
debaucheri riot
debilit infirm
debon bone
debonair suav
debonnair suav
debri dust
debut introduct
decadron oradexon
decagram dag
decal decalcomania
decalit dal
decalitr dal
decamet dekametr
decametr dekametr
decarbonis decarbon
decarbur decarbon
decarburis decarbon
deced deceas
deceitfulli dishonestli
deceivingli decept
decennari decad
decennium decad
decertifi derecognis
decidedli emphat
decilit dl
decilitr dl
decimet dm
decimetr dm
decker dekker
declaratori declar
declens deterior
decliv declin
declivit downhil
decoagul anticoagul
decoi steerer
decok decarbon
decolor decolouris
decoloris decolouris
decolour decolouris
deconcentr decentralis
deconstruction deconstruct
decoupl uncoupl
decriminalis legal
decrypt decod
decumb reclin
ded edd
deedbox strongbox
deepfreez freezer
deepli profoundli
defam traduc
defamatori calumni
defeatist negativist
defeminis defemin
defencelessli defenseless
deferenti submiss
defi resist
defianc rebelli
deficit shortag
deflat punctur
deflexion digress
defraud victim
defray payment
defrock unfrock
defrost deicer
deft quick
deftli dexter
defunct extinct
degauss demagnetis
deglycerolis deglycerol
degust savor
deific exalt
deiist deistic
deiti divin
dekagram dag
dekalit dal
dekalitr dal
dekamet dekametr
delawarian delawarean
deleg releg
deleteri hurt
deli delicatessen
delilah siren
delinqu remiss
deliquium faint
deliri hallucin
delirium craze
deliver saviour
delphian delphic
deltason prednison
delud deceiv
delusori decept
delux luxuri
delv dig
demagnet demagnetis
demagogi demagogueri
demasculin emascul
demasculinis emascul
dematerialis demateri
demeaningli humiliatingli
demeanor conduct
demeanour conduct
dement brainsick
dementedli insan
dementia demented
demerol meperidin
demesn land
demilitar demilitaris
demineralis deminer
demis dy
demob demobilis
democraci republ
demod passe
demograph demographist
demon satan
demonet demonetis
demulc emolli
denation denationalis
denaturis denatur
dendraspi dendroaspi
dendriform arboresqu
dendroid arboresqu
denigratori calumni
denizen dweller
densimet densitomet
densiti dens
dent scratch
dentistri odontolog
dentur plate
denumer countabl
denunciatori comminatori
deodoris deodor
deodouris deodor
deoxid deoxidis
deoxyephedrin methedrin
deoxyguanosin guanosin
deoxythymidin thymidin
departur leav
depilatori epil
depon testifi
depopul desol
deport transport
depositori deposit
depot termin
deprec depreciatori
deprecatori depreciatori
depressur decompress
depressuris decompress
derail jump
derecogn derecognis
deris scoffingli
derisori preposter
derisorili scoffingli
dermal dermic
dermatomycosi dermatophytosi
dermatosclerosi scleroderma
dermi derma
derrier bum
desalt desalinis
descensu prolapsu
descri espi
descript synchron
descriptor signifi
desecr sacrileg
desegr nonsegreg
desegreg integr
deserving meritori
desex desexu
deshabil dishabil
designedli advisedli
desktop background
despit vindict
despoina cora
despoli despoil
despond heartsick
destabilis destabil
destalin destalinis
destitut impoverish
destroy uproot
destruct end
desyrel trazodon
detent pawl
determinist predestinarian
deterr disincent
dethaw unfreez
dethron deposit
detox detoxifi
detractor knocker
detransitiv detransitivis
detriment prejudici
detritu dust
deuteromycotina deuteromycota
deutschland frg
devanagari nagari
devic gimmick
devilis devil
devitalis devit
devon devonshir
devote buff
devoted devot
dewi bedew
dexamethason oradexon
dexon oradexon
dextrorotatori dextrorotari
dextros dextroglucos
dextrous dexter
dflp pdflp
dg decigram
dhak dak
dhaka dacca
dhal dahl
dhawa dhava
di orcu
diabeta glyburid
diabol satan
diabolatri demonolatri
diabolis devil
diabolist satanist
diacetylmorphin heroin
diadem crown
diagnosi diagnos
diagon solidu
diagram schematis
dialyz dialys
diam diamet
diamant sequin
dianoet discurs
diaphan gossam
diaphoresi perspir
diaphoret sudorif
diaphys diaphysi
diarchi dyarchi
diari journal
diarrhea diarrhoea
diarrheal diarrhoeic
diarrheic diarrhoeic
diarrhet diarrhoeic
diarrhoeal diarrhoeic
diarrhoet diarrhoeic
diatomophycea bacillariophycea
diaz dia
dibber dibbl
dibrach pyrrhic
dibranchi dibranch
dibranchia dibranchiata
dicamptodon dicamptodontid
dicei chanc
dichotomi dualiti
dichromasi dichromaci
dichromat dichromaci
dichromatopsia dichromaci
dichromia dichromaci
dicken deuc
dickhead sob
dickybird dickeybird
dicot magnoliopsid
dicotyledon magnoliopsid
dictat prescrib
dictatorship absolut
diction phrase
dicumarol dicoumarol
diddli diddlei
diddlyshit diddlei
diddlysquat diddlei
didrikson zaharia
die pass
dielectr nonconductor
diencephalon thalmencephalon
dieresi diaeresi
diesink diemak
diestrou dioestrou
diestrual dioestrou
diestrum diestru
dietet dietari
diethylmalonylurea barbiton
diethylstilbesterol stilbesterol
diethylstilbestrol diethylstilboestrol
dietitian dietician
diffusor diffus
diflunis dolobid
digger shovel
digitalin digitali
digitalis digitis
dignifi ennobl
dilaudid hydromorphon
dilettanteish dilettant
dilettantish dilettant
dilig persev
dillyd procrastin
dillydalli mope
diluent dilut
diluvian diluvi
dimenhydrin dramamin
dimli pale
dimout blackout
dimwit doofu
din tumult
dinero lucr
dinesen blixen
dingdong ding
dingili grubbili
dingl dell
dinki dinkei
dinocera uintather
dioces bishopr
dioeciou dioecian
dioestrual dioestrou
diol glycol
diorama panorama
diphenylhydantoin dilantin
diphthong diphthongis
diplomaci statesmanship
dipteron dipteran
dire desper
direction direct
directionless afloat
dirg threnodi
dirtili filthili
disabus undeceiv
disaffect rebelli
disagr diverg
disagre unsympathet
disallow forbid
disapprob condemn
disarm unarm
disarrang disorgan
disassembl dismantl
disassoci dissoci
disast catastroph
disband dissolv
disbelief unbelief
disbeliev unbeliev
disbelievingli unbelievingli
discant descant
discas peel
discept argument
discipl adher
disciplinari disciplin
disciplinarian martinet
disclaim disavow
disco discothequ
discoloris decolouris
discolouris decolouris
discombobul throw
discomfitur disconcert
discommod inconveni
discompos upset
discomposur disconcert
disconnected disjunct
discontented discontent
discorpor unbodi
discourt ungraci
discoveri find
diseas morbid
disembark debark
disembarrass rid
disembodi unbodi
disen incapacit
disenchant disillus
disencumb extric
disesteem disrespect
disforest disafforest
disfranchis voteless
disfunct dysfunct
disgracefulli discredit
disgruntl dissatisfi
disgusting sickening
disgustingli sickeningli
dishcloth dishrag
dishearten dispirit
dishonesti knaveri
dishwar crockeri
disillusion disillus
disingenu artfulli
disint exhum
disinter exhum
disinvest divest
disinvolv disembroil
disjunctur disjunct
diskett floppi
disklik discoid
dislik disfavour
dislogist pejor
dismemb discerp
disord upset
disorganis disorgan
dispar distinct
dispassion dispass
disproof refut
disproportion disproport
disprov refut
disputati disput
disqualifi unfit
disquietud edgi
disrob peel
diss affront
dissatisfactori disappoint
dissect cleft
dissemin propag
dissev separ
dissid heret
dissimil katabol
dissimilitud unlik
dissuad deter
dissyl disyl
distaff femal
distastefulli sickeningli
distent distens
distich dyad
distraught overwrought
distributor distribut
ditchmoss elodea
dither pother
dittani fraxinella
diuril chlorothiazid
diversionist wrecker
divertimento serenad
divinatori suppositi
divisor factor
dixi confederaci
dixieland confederaci
dizygot dizyg
dizzili giddili
djakarta jakarta
djinni jinne
dkg dag
dkl dal
dkm dekametr
dmu musd
doabl accomplish
dobsonfli dobson
docker dockhand
docket schedul
doctor sophist
doctrin philosophi
docudrama infotain
dod defens
dodderi dodder
dodecanes dhodhekaniso
dodger fox
dodgi tricki
doer actor
dogfingt tussl
dogfish bowfin
dogged persist
doghous kennel
dogi leppi
dogmatist doctrinair
dogsbodi menial
dogshit crap
dogtooth cuspid
doh do
dohickei gismo
doj justic
dojigg gismo
dol labor
dolabr dolabriform
dolichocephal dolichocran
dolichocrani dolichocran
dollar clam
dollarfish horsefish
dolli doll
dolor dolour
dolphin dolphinfish
dolt stupid
doltish cloddish
doltishli stupidli
domestic tame
domesticis tame
domicil shack
domicili shack
domine domini
dominion rule
dominiqu dominick
dominu domini
donbass donba
dong ding
donkeywork grind
donnean donnian
donor giver
donut sinker
doob kweek
doodad gismo
doodl scribbl
doodlebug antlion
doohickei gismo
doomsdai doom
door threshold
doorbel buzzer
doorfram doorcas
doorkeep usher
doorknob doorhandl
doorknock rapper
doorman gatekeep
doorpost doorjamb
doorsil threshold
doorstep threshold
doorstop doorstopp
doorwai threshold
dopa dihydroxyphenylalanin
dopastat dopamin
dopei anserin
dopi anserin
dori dinghi
doriden glutethimid
dork jerk
dorm hall
dormanc sleep
dormitori hall
dorsum back
dosemet dosimet
doss crash
dossal dossel
dosshous flophous
dostoevski dostoyevski
dostoevskian dostoyevskian
dotag senil
dote ador
dotterel dotrel
dottili balmili
dough lucr
doughi soggi
doughnut sinker
doughti fearless
doura dourah
dourli sullenli
dowd dowdi
dowdili frumpili
dower endow
doweri dowri
downcast blue
downer sed
downfal ruinat
downheart blue
downhearted dispirited
downlik downi
downpour delug
downriv downstream
downsiz curtail
downslop declin
downsw downturn
downwardli downward
doxepin adapin
doxi paramour
doyen dean
doylei doili
doyli doili
doze snooz
dozen heap
dozer bulldoz
dracaenacea dracenacea
drachm fluidram
drachma dram
draco dragon
drafte inducte
draftsmanship draw
draggl bedraggl
dragnet trawl
dragoon railroad
drainag drain
drama plai
dramatist playwright
drape mantl
draperi curtain
draughti drafti
draughtsman draftsperson
dravid dravidian
drawer knicker
drawknif drawshav
drawstr string
dreadnought dreadnaught
dreamfulli dreamili
dreami mooni
dreamworld dreamland
drear gloomi
drearili dismal
dreck schlock
dreg ground
drench swamp
dresser vaniti
dressmak sempstress
dribbler slobber
drier sic
drifter floater
drinkabl potabl
drippag drip
drippili mawkishli
dripston hoodmold
drivewai drive
drooler slobber
droopi sag
droplin stephead
dropsi edema
dropsic edemat
droshki droski
drown overwhelm
drowsi sleepi
drowsili somnol
drub thrash
drudgeri grind
druggist chemist
drumbeat zealot
drunkard inebri
druther prefer
druze druse
dry teetot
dryness xerot
dryopteridacea athyriacea
duad dyad
dual twofold
dualist manichaean
dub nicknam
dubieti uncertainti
dubious uncertainti
dubit doubt
dubrovnik ragusa
duchi dukedom
ducki favourit
ductil tensil
ductulu ductul
dud washout
dude fop
dueler dueller
duelist dueller
duellist dueller
duet dyad
duffl duffel
dulcet melliflu
dulcifi sweeten
dulcor sweeten
dullard stupid
dumbbel boob
dumbfound dumfound
dumbl obtus
dummi boob
dumpsit dump
dumuzi tammuz
dun fawn
dunc muttonhead
dunderhead muttonhead
dungare denim
dungeon donjon
dunghil midden
dunkirk dunkerqu
dunnock sparrow
duologu dialog
dupe victim
duperi fraudul
durabolin nandrolon
duramen heartwood
durazzo durr
durham shorthorn
durian durion
durra dourah
dushanb dusanb
dustcloth dustrag
duster smock
dustup wrangl
dutchman netherland
dwarfism nanism
dweeb nerd
dwindl taper
dybbuk dibbuk
dyestuff dye
dynamitist dynamit
dynapen dicloxacillin
dyslect dyslex
dyslogist pejor
dysosmia parosamia
dysphemist offens
dysphor unhappi
dyspnea dyspnoea
dyspneal dyspneic
dyspnoeal dyspneic
dyspnoeic dyspneic
dyushamb dusanb
eager great
eagerli thirstili
eagr bore
earach otalgia
eardrum tympanum
earlap earflap
earlier sooner
earnestli serious
earphon phone
earpiec phone
earreach earshot
earsplit deafen
earthbound prosaic
earthi gross
earthl tellurian
earthman tellurian
earthnut truffl
earthquak temblor
earthworm nightcrawl
earwax cerumen
easement relief
eastbound eastward
easter easterli
easternmost eastmost
eatabl victual
eatag pastur
eb wane
eboni sabl
ebonis ebon
ebullit blowup
ec europ
eccentr nonconcentr
ecclesiasticu sirach
eccyesi metacyesi
ecdysi moult
ecesi establish
ecg electrocardiogram
echoic onomatopo
echt genuin
eclat pomp
eclect eclecticist
eclogu idyl
econometrician econometrist
economi thrifti
ecreviss crawfish
ecstat rhapsod
ectasi ectasia
ectoblast exoderm
ectoparasit epizoan
ectozoon epizoan
ecuadorian ecuadoran
ecumenic ecumen
edaci raven
edda cocoyam
eddi twist
eddo taro
eden paradis
edentul edent
edgewis edgewai
edict order
edif sophist
edirn adrianopoli
editorialist columnist
edo tokio
edronax reboxetin
educationalist educationist
edulcor sweeten
edwi eadwig
eec europ
eeg electroencephalogram
eerili spookili
eff hump
effeminaci effemin
effigi imag
effluenc efflux
effortless casual
effronteri presumpt
egest elimin
eggbeat eggwhisk
egger eggar
eggfruit canistel
eggplant aubergin
ego self
egoism egocentr
eiderdown duvet
eightfold octupl
eightsom octet
einstein mastermind
eir ireland
ekg electrocardiogram
elasmobranch selachian
elasticis elastic
elbow cubitu
elder senior
elderberri bourtre
elderli older
eldest firstborn
election canvass
electrician linesman
electrocardiograph cardiograph
electrocardiographi cardiographi
electroneutr neutral
electrophoresi dielectrolysi
electroshock ect
eleg grace
elegi lament
elementari uncompl
elephantin giant
elf pixi
elfish elvish
elflik elfin
elit elect
ellipsi eclipsi
elmwood elm
eln cnpz
elsass alsatia
elspar asparaginas
elul ellul
elus subtl
elvi acid
em pica
email netmail
emancipationist abolitionist
emb engraft
embattl indent
ember coal
embezzl pecul
embioptera embiodea
embitt envenom
emblazon colour
emblem allegori
embolden cheer
embow bower
embrasur port
embroid embellish
embroil imbroglio
embryo conceptu
embryolog embryon
embryot embryon
emda iontotherapi
emeer ameer
emend edit
emeritu retir
emers emerg
emesi vomit
emesid ethosuximid
emg electromyogram
emin tuberos
emir ameer
emiss expel
emment emmenthal
emmental emmenthal
emmenth emmenthal
emmet pismir
empal transfix
empiric sensation
emplac placement
emplan enplan
emul rivalr
enamor dotti
enamored amor
enamour charm
enanthema enanthem
enantiom enantiomorph
encainid enkaid
enceint gravid
enceph phreniti
encephalomening meningoenceph
enchant spell
enchantress witch
enchiridion handbook
enciph code
encloth cloth
encomium panegyr
encrypt encod
encultur accultur
encumb restrain
encumbr incumbr
encyclopaed erudit
encyclopaedia cyclopaedia
encyclopaedist encyclopedist
encyclopedia cyclopaedia
endang threaten
endear love
endeavour endeavor
endecott endicott
enderm endermat
endiv witloof
endocarp stone
endoderm endoblast
endodontia endodont
endogami inmarriag
endogenet endogen
endometr metriti
endometriosi adenomyosi
endomorph pyknic
endoparasit entozoan
endoprocta entoprocta
endoven intraven
endozo entozoan
endozoan entozoan
endu endow
endur weather
enduring strength
enemi opposit
energet industri
enet yeniseian
enfluran ethran
enfold involut
engagingli winsom
engild begild
english side
englut stuff
engrav inscrib
enigma secret
enigmat puzzl
enjoin sai
enlac interlac
ennui boredom
enolog oenolog
enough suffici
enounc articul
ensconc settl
enshroud cover
ensiform bladelik
ensilag silag
ensnarl enmesh
ensorcel bewitch
ensuant result
ensur insur
enteroceptor interoceptor
enterostomi enterotomi
enthrallingli enchantingli
entoblast endoblast
entoderm endoblast
entomologist bugologist
entoparasit entozoan
entourag retinu
entozo entozoan
entozoon entozoan
entrail innard
entrancewai entre
entrant fledgel
entrap trammel
entreat beseech
entreati prayer
entrepot store
entrepreneur enterpris
entri submiss
entrywai entre
entsi yeniseian
enur inur
enviou covet
environ surround
envisag ideat
eolian aeolian
eolic aeolic
eolotrop aeolotrop
epanaphora anaphora
epaulett epaulet
epenthet parasit
epha ephah
ephemerida ephemeroptera
ephemeron ephemera
ephemeropteran ephemerid
epicent epicentr
epicur epicurean
epiderm cuticular
epidur extradur
epigrammat aphorist
epilog epilogu
epiphys epiphysi
epiphyt aerophyt
episcopalian episcop
episod sequenc
episperm testa
epistem epistemolog
epistolatori epistolari
epistroph epiphora
epithet name
epitom typifi
epitomis typifi
epizoon epizoan
epoch era
eq equival
equabl placid
equalitarian egalitarian
equanil meprobam
equanim collect
equestrian horseman
equid equin
equilibr balanc
equilibris balanc
equilibrium equipois
equipt equip
erastian byzantin
erasur expunct
erbium er
ereshkigel ereshkig
ergomet dynamomet
eringo eryngo
eriny furi
erivan yerevan
erotic erot
erotica porn
erratum misprint
erreminis feminis
ers goidel
ersatz substitut
erst formerli
erstwhil formerli
erythrocytolysin haemolysin
erythrolysin haemolysin
erythromycin erythrocin
erythroxylon erythroxylum
escal intensifi
eschew shun
escritoir secretari
escutcheon scutcheon
esfahan aspadana
eskalith lithan
esophag oesophag
esophagoscop oesophagoscop
esparcet sanfoin
espial catch
esq esquir
esquimau inuit
essai seek
essonit hessonit
establishmentarian establishment
estazolam prosom
esthonia estonia
estonian esthonian
estradiol oestradiol
estrogen oestrogen
estronol estron
estru rut
estuarin estuari
etanercept enbrel
eternalis etern
eternis etern
ethan acetaldehyd
ethanamid acetamid
ethchlorvynol placidyl
ethen ethylen
etheris ether
ethician ethicist
ethiopia yaltopya
ethocain procain
ethoxyethan ether
ethril erythrocin
ethyn alkyn
etodolac lodin
etymon root
eu europium
eubacterium eubacteria
eucalypt eucalyptu
eucarya fusanu
eucaryot eukaryot
euclidian euclidean
eudaemonia eudaimonia
euglenid euglenoid
euglenophyt euglenoid
eulog eulogis
eulogi panegyr
eulogist panegyrist
eumenid furi
euphem euphemis
euphemist inoffens
euphor happi
eupnea eupnoea
eupneic eupnoeic
eurasian eurasiat
eureka constantan
eurhythm eurythmi
eurhythmi eurythmi
eurocentr europocentr
euronithopod euronithopoda
eurotial aspergillal
eurythm eurythmi
ev eventid
evad sidestep
evanesc fade
evangelis evangel
evenfal dusk
evenhandedli fair
evenk tungu
evenki ewenki
evensong vesper
everlast stare
evers evert
everydai routin
everyday common
everywher everyplac
evidentiari evidenti
evildo transgress
eviscer resect
evolv germin
ewer pitcher
ex passe
exactitud exact
exam examin
examen examin
examine teste
exanim lifeless
exanthema exanthem
exarch eparchi
exce transcend
exceed except
exceedingli extrem
exciseman taxman
excitatori excit
exclam exclaim
excrement excreta
excresc promin
excret excreta
excruci tortur
excruciatingli agonizingli
excursu divag
excusatori apologet
exemplar model
exfoli scurf
exhibition immodesti
exigu meager
exil transport
existenti experienti
exobiolog astrobiolog
exocarp epicarp
exodont exodontia
exodu hegira
exon forgiv
exoner vindic
exopterygota hemimetabola
exorbitantli usuri
exorc exorcis
exotic exot
expansil expand
expected common
expedit out
expediti timesav
expens disburs
expert practic
expiatori expi
explan account
explanandum explicandum
explet curs
explic formul
explicitli expressli
exploratori explor
expo exhibit
exponenti involut
expositori exposit
expressionless deadpan
expresswai motorwai
expuls extrus
exsert extend
extemporarili extemporan
extemporis improv
exterritori extraterritori
extol lauder
extortionist blackmail
extractor separ
extracurricular adulter
extramarit adulter
extraordinarili inordin
extrapol interpol
extravas erupt
extremist ultra
extremum peak
exuber riotou
exult rejoic
exultantli exultingli
exuvi molt
eyebath eyecup
eyebrow brow
eyeglass spectacl
eyelet loop
eyelid palpebra
eyeshad bill
eyesight see
eyespot ocellu
eyestrain asthenopia
eyetooth cuspid
fabacea leguminosa
facad frontal
facelift rhytidoplasti
facet aspect
facia fascia
factori mill
factoris factor
fad craze
faddi faddish
faddili faddishli
fadeout reced
faec deject
faecal fecul
faecalith stercolith
faero faro
fagot nanc
fain lief
faineant otios
fairi sprite
fairish fair
fairyland faeri
faisalabad lyallpur
faithless unfaith
faithlessli treacher
fakeer faquir
faker shammer
fakir faquir
falafel felafel
falcat falciform
falcon hawker
falder gimcrackeri
falkner faulkner
fallal trinket
fallback disengag
faller lumberjack
fallibl frail
falsehood untruth
famin shortag
famotidin pepcid
famou illustri
famous magnific
fanatic zealotri
fancier enthusiast
fancywork embroideri
fanni bum
fantabul excel
fanwe stinkwe
faqir faquir
faraway far
farewel part
farfetch implaus
farinac gritti
farkleberri sparkleberri
farmer sodbust
farmhand fieldhand
farmland tilth
farmstead farmplac
faroes faeroes
farrago hotchpotch
farsi persian
farsight presbyop
farsighted hyperopia
fart wind
farthermost utmost
fasciculu fascicl
fasciolosi fascioliasi
fastbal smoke
fastest quickest
fatherland homeland
fatherlik fatherli
fatiha fatihah
fatimah fatima
fatism fattism
fatless nonfat
fatten fat
fatuiti absurd
fatuou vacuou
fatuous inan
faultfind cynic
faultless immacul
faust faustu
fauvist fauv
faux simul
faveol alveol
fearsom aw
feat deed
featherb cosset
featherbrain airhead
featheredg deckl
featherlik featheri
febric febril
febrifug antipyret
februari feb
fecal fecul
fecalith stercolith
fece deject
fecklessli ineptli
federita feterita
fee bung
fei touch
feldspar felspar
felicit happi
felin felid
fellata fulani
fellatio fellat
feller lumberjack
fello felli
felt mat
femin feminis
feminist libber
femtometr femtomet
femur femori
fen fenland
fenceless unfenc
fencer swordsman
fencesitt mugwump
fend stand
fender wing
fenestella lunett
fengtien moukden
fennic finnic
feoff fief
feral ferin
fermentologist enologist
fermi femtomet
fermium fm
ferni fernlik
feroc vehem
ferric ferrou
ferrul collet
fervenc ardour
fervidli fervent
fervor fervour
festal festiv
festoon festooneri
fetal foetal
fete fiesta
feticid aborticid
fetid smelli
fetolog foetolog
fetoprotein foetoprotein
fetor foetor
fetoscop foetoscop
fetoscopi foetoscopi
fettuccini fettuccin
feudal feudalist
fever feverish
fez tarboosh
fiat order
fib stori
fibber fabric
fibreboard fiberboard
fibreglass fiberglass
fibreopt fiberopt
fibril filament
fibrinolysin plasmin
fice feist
fictiti sham
fictiv sham
fidget restless
fidgeti restless
fiduci fiduciari
fieldsman fielder
fiend monster
fiendish hellish
fiendishli devilishli
fieri perfervid
fierili fervent
figurin statuett
filago cudwe
filagre fillagre
filare clock
filaria clock
filbert hazelnut
filch hook
file regist
filiat lineag
filibust filibuster
filicina filicopsida
filiform filamentlik
filigre fillagre
filipino philippin
fillip bonu
filmi gossam
filtrat strain
finagl wangler
financ fund
fineabl finabl
finess delicaci
fingerboard fingerpost
fingerbreadth finger
fingerlik digit
fingerprint fingermark
fingerroot fingerflow
fini finish
finic particular
finicki particular
finit finitud
fink canari
finnish suomi
finocchio fennel
firearm piec
firebal powerhous
firebird redbird
firebomb incendiari
firebrand incit
firebug arsonist
firecrack banger
firedog andiron
firefight fireman
fireguard firebreak
firelock flintlock
fireroom stokehol
firethorn pyracantha
firework pyrotechn
firmament empyrean
fisherman fisher
fishgig spear
fishi funni
fishili queerli
fishmong fishwif
fishworm nightcrawl
fission fissil
fissipar separatist
fissur crevic
fist hand
fistfight fisticuff
fistula sinu
fistular fistul
fitch foulmart
fitli appropri
fitter healthier
fittingli appropri
fixabl repair
fixed unalter
fixer repair
fixtur secur
fizgig spear
fizz sparkl
fjord fiord
fl florida
flabbergast dumfound
flabbi flaccid
flagiti monstrou
